rrt_mode,plan_length,cost,goal_bias,time,plan
RRTStar,4,3.2903420361809026,0.05,1.708041764999507,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,2.0260811500047566,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.736411493999185,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,6,6.1084617151002325,0.05,3.451212535997911,"[(0.78, -0.78, 0.0, 0.0), (0.8646903907254773, -1.140562866602417, 0.4509152539951007, 0.3404056808920881), (1.3045752155451655, -1.8252610478695175, 0.2665641920576225, 1.3342154442455962), (0.273779657005468, -0.5183351908203653, 0.15507945134738588, 2.5576067632679003), (0.009695752055713047, 0.0980412043277088, 0.28010591447801536, 1.7933530500907269), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.846686924000096,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,4.27665212619512,0.05,4.00887836900074,"[(0.78, -0.78, 0.0, 0.0), (1.0587094893701456, -1.0147510556484436, -0.529390361357517, 0.8752571983780566), (1.0868845021384388, -1.0588631466622784, -0.7280540216797977, 1.6909838954605743), (0.7089997048019048, -0.5680925930203138, 0.11809257721644473, 1.5584047206496), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.705515085006482,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.849277212000743,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,6,6.1084617151002325,0.05,3.2367667880025692,"[(0.78, -0.78, 0.0, 0.0), (0.8646903907254773, -1.140562866602417, 0.4509152539951007, 0.3404056808920881), (1.3045752155451655, -1.8252610478695175, 0.2665641920576225, 1.3342154442455962), (0.273779657005468, -0.5183351908203653, 0.15507945134738588, 2.5576067632679003), (0.009695752055713047, 0.0980412043277088, 0.28010591447801536, 1.7933530500907269), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.7084826410064125,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.8468527750010253,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,4.27665212619512,0.05,3.9952684430027148,"[(0.78, -0.78, 0.0, 0.0), (1.0587094893701456, -1.0147510556484436, -0.529390361357517, 0.8752571983780566), (1.0868845021384388, -1.0588631466622784, -0.7280540216797977, 1.6909838954605743), (0.7089997048019048, -0.5680925930203138, 0.11809257721644473, 1.5584047206496), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.7427131840013317,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.8591610500006936,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,6,6.1084617151002325,0.05,3.248458756999753,"[(0.78, -0.78, 0.0, 0.0), (0.8646903907254773, -1.140562866602417, 0.4509152539951007, 0.3404056808920881), (1.3045752155451655, -1.8252610478695175, 0.2665641920576225, 1.3342154442455962), (0.273779657005468, -0.5183351908203653, 0.15507945134738588, 2.5576067632679003), (0.009695752055713047, 0.0980412043277088, 0.28010591447801536, 1.7933530500907269), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.7310296400028164,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.8508276200009277,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,4.27665212619512,0.05,4.049751690006815,"[(0.78, -0.78, 0.0, 0.0), (1.0587094893701456, -1.0147510556484436, -0.529390361357517, 0.8752571983780566), (1.0868845021384388, -1.0588631466622784, -0.7280540216797977, 1.6909838954605743), (0.7089997048019048, -0.5680925930203138, 0.11809257721644473, 1.5584047206496), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.7486713690013858,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.8937445339979604,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,6,6.1084617151002325,0.05,3.287093348997587,"[(0.78, -0.78, 0.0, 0.0), (0.8646903907254773, -1.140562866602417, 0.4509152539951007, 0.3404056808920881), (1.3045752155451655, -1.8252610478695175, 0.2665641920576225, 1.3342154442455962), (0.273779657005468, -0.5183351908203653, 0.15507945134738588, 2.5576067632679003), (0.009695752055713047, 0.0980412043277088, 0.28010591447801536, 1.7933530500907269), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,3.5035538977780796,0.05,13.347298303997377,"[(0.78, -0.78, 0.0, 0.0), (0.47949312423136004, -0.9665557147490613, 0.9145958573105419, 0.32493093663742645), (0.5218413433322233, -1.0145774303300894, 1.4845495347377557, 0.7025319073759833), (0.14206355795394732, -0.030560476823640048, 1.3360096729442015, 0.5289984040521873), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,4,3.2903420361809026,0.05,1.759604954997485,"[(0.78, -0.78, 0.0, 0.0), (0.8950980466066385, -1.1862463140569688, 0.6705359340171162, 0.15960460544945887), (0.5768803775444038, -1.0017917222827175, 0.6996570183339523, 1.3398956897080812), (0.3, 0.15, 1.0, 1.1)]"
RRTStar,5,5.758844451349674,0.05,1.90528742299648,"[(0.78, -0.78, 0.0, 0.0), (0.7997265294947544, -0.5754971096579524, -1.2532839811271947, 0.9291664829777311), (0.6786490033444834, -0.33859722637391076, -1.3535636245983476, 2.1685754584803565), (0.4290579321652799, 0.21082233995283506, -0.1638225575140977, 2.15836773105174), (0.3, 0.15, 1.0, 1.1)]"
